Age (Ma),Sea level (m),lower unc (m),upper unc (m)
age,sea_level,l_unc,u_unc
4.586,9,-15,21
4.587,12,-12,24
4.588,14,-8,26
4.589,16,-5,27
4.590,16,-5,27
4.591,15,-6,26
4.592,16,-2,26
4.593,18,4,27
4.594,17,3,26
4.595,17,4,26
4.596,18,5,27
4.597,18,5,28
4.598,19,5,28
4.599,18,4,28
4.600,18,5,28
4.601,17,2,26
4.602,12,-10,23
4.603,12,-7,22
4.604,11,-8,21
4.605,10,-11,20
4.606,7,-18,19
4.607,7,-19,18
4.608,5,-28,18
4.609,3,-35,18
4.610,1,-42,17
4.611,2,-42,18
4.612,2,-41,18
4.613,3,-40,19
4.614,2,-42,19
4.615,5,-34,20
4.616,8,-29,23
4.617,12,-23,25
4.618,15,-18,28
4.619,17,-11,30
4.620,19,-5,33
4.621,18,-7,30
4.622,17,-6,29
4.623,15,-11,27
4.624,8,-29,23
4.625,9,-23,22
4.626,9,-22,22
4.627,7,-28,21
4.628,5,-33,20
4.629,6,-30,20
4.630,0,-45,17
4.631,3,-38,19
4.632,5,-32,20
4.633,8,-26,21
4.634,11,-18,23
4.635,13,-10,24
4.636,14,-6,25
4.637,15,-3,25
4.638,16,0,26
4.639,16,1,26
4.640,17,4,26
4.641,18,4,27
4.642,18,5,28
4.643,20,7,29
4.644,21,9,30
4.645,21,11,29
4.646,19,5,29
4.647,12,-18,25
4.648,13,-16,25
4.649,8,-32,23
4.650,3,-46,21
4.651,4,-42,21
4.652,4,-40,21
4.653,5,-37,21
4.654,5,-35,20
4.655,6,-30,21
4.656,8,-24,22
4.657,10,-18,23
4.658,13,-8,24
4.659,15,-3,25
4.660,16,1,26
4.661,19,5,29
4.662,18,2,29
4.663,19,3,31
4.664,20,3,32
4.665,21,3,33
4.666,20,3,32
4.667,20,3,31
4.668,19,2,30
4.669,18,1,29
4.670,16,-1,26
4.671,17,-1,27
4.672,17,-2,28
4.673,17,-4,29
4.674,15,-14,28
4.675,18,-6,30
4.676,16,-10,28
4.677,13,-19,26
4.678,12,-17,25
4.679,10,-22,23
4.680,7,-26,21
4.681,6,-30,20
4.682,4,-33,19
4.683,3,-35,18
4.684,1,-40,17
4.685,-4,-45,15
4.686,-2,-45,15
4.687,-2,-44,16
4.688,-2,-45,16
4.689,1,-42,17
4.690,0,-45,17
4.691,3,-36,18
4.692,3,-33,18
4.693,3,-32,18
4.694,4,-30,17
4.695,4,-27,17
4.696,7,-21,19
4.697,10,-14,22
4.698,15,0,24
4.699,15,-2,25
4.700,16,1,26
4.701,16,1,25
4.702,15,1,24
4.703,15,2,24
4.704,15,2,23
4.705,15,2,23
4.706,15,2,24
4.707,15,2,24
4.708,15,2,24
4.709,16,2,25
4.710,16,2,25
4.711,16,1,26
4.712,14,-6,25
4.713,16,-3,27
4.714,16,-6,27
4.715,16,-9,27
4.716,18,1,29
4.717,19,3,29
4.718,19,5,29
4.719,20,6,29
4.720,19,7,28
4.721,16,2,26
4.722,13,-6,23
4.723,8,-18,20
4.724,3,-30,16
4.725,-5,-41,13
4.726,-4,-43,14
4.727,-4,-47,16
4.728,-1,-49,17
4.729,-1,-54,19
4.730,-2,-58,20
4.731,1,-57,21
4.732,2,-56,22
4.733,4,-52,24
4.734,6,-49,25
4.735,6,-51,25
4.736,9,-35,25
4.737,10,-25,24
4.738,11,-17,23
4.739,7,-21,20
4.740,12,-5,21
4.741,14,-2,23
4.742,13,-5,23
4.743,15,0,25
4.744,16,0,27
4.745,17,-1,28
4.746,16,-2,27
4.747,15,-3,25
4.748,14,-4,24
4.749,14,0,24
4.750,15,1,24
4.751,17,4,25
4.752,17,5,26
4.753,18,7,26
4.754,18,8,26
4.755,20,10,27
4.756,21,12,29
4.757,19,7,28
4.758,24,15,33
4.759,25,15,34
4.760,26,15,35
4.761,24,13,33
4.762,22,10,30
4.763,19,7,28
4.764,17,4,26
4.765,15,1,24
4.766,12,-6,21
4.767,9,-13,19
4.768,4,-25,17
4.769,1,-32,15
4.770,-5,-37,12
4.771,-4,-37,12
4.772,-4,-37,12
4.773,-4,-36,12
4.774,-3,-38,13
4.775,-3,-39,13
4.776,2,-32,15
4.777,6,-21,18
4.778,9,-14,19
4.779,12,-7,22
4.780,12,-10,22
4.781,16,3,24
4.782,18,5,27
4.783,19,7,28
4.784,21,9,29
4.785,22,11,31
4.786,21,10,30
4.787,21,9,29
4.788,20,9,29
4.789,20,8,28
4.790,19,7,28
4.791,20,8,29
4.792,20,8,28
4.793,20,7,29
4.794,20,7,29
4.795,20,7,29
4.796,20,7,29
4.797,20,8,29
4.798,21,10,29
4.799,20,9,29
4.800,25,15,33
4.801,22,11,31
4.802,22,10,31
4.803,22,10,32
4.804,20,5,31
4.805,17,-2,29
4.806,18,1,29
4.807,16,-4,27
4.808,14,-11,25
4.809,6,-31,21
4.810,3,-38,19
4.811,4,-34,19
4.812,5,-31,19
4.813,6,-28,20
4.814,7,-25,20
4.815,6,-26,19
4.816,9,-17,21
4.817,11,-12,22
4.818,13,-6,24
4.819,15,1,25
4.820,17,4,26
4.821,17,4,26
4.822,17,3,27
4.823,18,3,28
4.824,18,2,28
4.825,19,1,30
4.826,20,4,31
4.827,22,8,32
4.828,23,11,32
4.829,24,13,33
4.830,26,16,34
4.831,23,12,31
4.832,21,10,30
4.833,19,6,28
4.834,17,3,26
4.835,14,-4,23
4.836,13,-9,23
4.837,12,-14,23
4.838,10,-20,23
4.839,9,-27,23
4.840,8,-33,24
4.841,5,-42,22
4.842,1,-48,19
4.843,-4,-55,18
4.844,-12,-61,15
4.845,-19,-67,13
4.846,-15,-62,14
4.847,-10,-58,15
4.848,-5,-54,17
4.849,-2,-51,18
4.850,1,-48,18
4.851,-6,-56,17
4.852,2,-43,19
4.853,3,-41,19
4.854,4,-39,20
4.855,4,-37,20
4.856,8,-28,23
4.857,11,-19,24
4.858,15,-10,27
4.859,18,-1,30
4.860,20,4,31
4.861,20,5,30
4.862,20,6,30
4.863,19,6,29
4.864,18,4,27
4.865,20,8,28
4.866,20,9,29
4.867,19,6,29
4.868,20,6,30
4.869,20,6,30
4.870,23,11,31
4.871,22,9,32
4.872,23,10,32
4.873,23,11,33
4.874,24,12,33
4.875,24,12,34
4.876,23,11,33
4.877,22,9,32
4.878,21,8,31
4.879,20,7,30
4.880,19,5,29
4.881,17,2,26
4.882,14,-5,24
4.883,,,
4.884,,,
4.885,,,
4.886,,,
4.887,,,
4.888,,,
4.889,,,
4.890,,,
4.891,,,
4.892,,,
4.893,,,
4.894,,,
4.895,,,
4.896,,,
4.897,,,
4.898,,,
4.899,,,
4.900,,,
4.901,,,
4.902,,,
4.903,,,
4.904,,,
4.905,,,
4.906,,,
4.907,,,
4.908,,,
4.909,,,
4.910,,,
4.911,,,
4.912,,,
4.913,,,
4.914,,,
4.915,,,
4.916,,,
4.917,,,
4.918,,,
4.919,,,
4.920,,,
4.921,,,
4.922,,,
4.923,,,
4.924,,,
4.925,,,
4.926,,,
4.927,,,
4.928,,,
4.929,,,
4.930,,,
4.931,,,
4.932,,,
4.933,,,
4.934,,,
4.935,,,
4.936,,,
4.937,,,
4.938,,,
4.939,,,
4.940,,,
4.941,,,
4.942,,,
4.943,,,
4.944,,,
4.945,,,
4.946,,,
4.947,,,
4.948,,,
4.949,,,
4.950,,,
4.951,,,
4.952,,,
4.953,,,
4.954,,,
4.955,,,
4.956,,,
4.957,,,
4.958,,,
4.959,,,
4.960,,,
4.961,,,
4.962,,,
4.963,,,
4.964,,,
4.965,,,
4.966,,,
4.967,,,
4.968,,,
4.969,,,
4.970,,,
4.971,,,
4.972,,,
4.973,,,
4.974,,,
4.975,,,
4.976,,,
4.977,,,
4.978,,,
4.979,,,
4.980,,,
4.981,,,
4.982,,,
4.983,,,
4.984,,,
4.985,,,
4.986,,,
4.987,,,
4.988,,,
4.989,,,
4.990,,,
4.991,,,
4.992,,,
4.993,,,
4.994,,,
4.995,,,
4.996,,,
4.997,,,
4.998,,,
4.999,,,
5.000,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
