variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig,version
mo_npp_05,mo_npp_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
mo_npp_06,mo_npp_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
mo_npp_07,mo_npp_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
mo_npp_08,mo_npp_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
mo_npp_09,mo_npp_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
mo_npp_10,mo_npp_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
mo_npp_11,mo_npp_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
mo_npp_12,mo_npp_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,https://zenodo.org/record/7062281/files/Beyer2020_monthly_vars_v1.1.0.nc?download=1,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026,1.1.0
bio01,bio01,Krapp2021,FALSE,Krapp2021_bio01_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio01_v1.0.0.nc?download=1,bio01_800ka.nc,https://osf.io/a39gh/?action=download,1.1.0
bio04,bio04,Krapp2021,FALSE,Krapp2021_bio04_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio04_v1.0.0.nc?download=1,bio04_800ka.nc,https://osf.io/p82ue/?action=download,1.1.0
bio05,bio05,Krapp2021,FALSE,Krapp2021_bio05_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio05_v1.0.0.nc?download=1,bio05_800ka.nc,https://osf.io/emhp9/?action=download,1.1.0
bio06,bio06,Krapp2021,FALSE,Krapp2021_bio06_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio06_v1.0.0.nc?download=1,bio06_800ka.nc,https://osf.io/cm923/?action=download,1.1.0
bio07,bio07,Krapp2021,FALSE,Krapp2021_bio07_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio07_v1.0.0.nc?download=1,bio07_800ka.nc,https://osf.io/prq8n/?action=download,1.1.0
bio08,bio08,Krapp2021,FALSE,Krapp2021_bio08_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio08_v1.0.0.nc?download=1,bio08_800ka.nc,https://osf.io/7jsa8/?action=download,1.1.0
bio09,bio09,Krapp2021,FALSE,Krapp2021_bio09_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio09_v1.0.0.nc?download=1,bio09_800ka.nc,https://osf.io/zaxku/?action=download,1.1.0
bio10,bio10,Krapp2021,FALSE,Krapp2021_bio10_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio10_v1.0.0.nc?download=1,bio10_800ka.nc,https://osf.io/b3kx8/?action=download,1.1.0
